Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,Marvel One-Shot: The Consultant,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,The Avengers,Marvel One-Shot: Item 47,Iron Man 3,Marvel One-Shot: Agent Carter,Agents of S.H.I.E.L.D.,Thor: The Dark World,Marvel One-Shot: All Hail the King,Captain America: The Winter Soldier,Guardians of the Galaxy,Agent Carter,Daredevil,Avengers: Age of Ultron,WHIH News Front,Ant-Man,Jessica Jones,Captain America: Civil War,Luke Cage,Doctor Strange,Agents of S.H.I.E.L.D.: Slingshot,Iron Fist,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,The Defenders,Inhumans,Thor: Ragnarok,The Punisher,Runaways,Black Panther,Avengers: Infinity War,Cloak & Dagger,Ant-Man and the Wasp,Captain Marvel,Avengers: Endgame,Spider-Man: Far from Home,Helstrom,Marvel Studios: Legends,WandaVision,The Falcon and the Winter Soldier,Loki,Black Widow,What If...?,Shang-Chi and the Legend of the Ten Rings,Eternals,Hawkeye,Spider-Man: No Way Home,Moon Knight,Doctor Strange in the Multiverse of Madness,Ms. Marvel,Thor: Love and Thunder,She-Hulk: Attorney at Law,Werewolf by Night,Black Panther: Wakanda Forever,The Guardians of the Galaxy: Holiday Special,character_name,alternate_name
,,,,,,,,,7:30,,,,7:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:00,,,,,,6:15,,,,,,,,,,,,Trevor Slattery,"""The Mandarin"""
,,,,,,,,,6:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:15,,,,,,,,,,,,,,,,,,,,,Harley Keener,
,,,,,,,,,6:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric Savin,
,,,,,,,,,3:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellen Brandt,
,,,,,,,,,2:00,,5:15,,,,,,,,1:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President Matthew Ellis,
,,,,,,,,,1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vice-President Rodriguez,
,,,,,,,,,,3:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Flynn,
,,,,,,,,,,,1039:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agent Daisy ""Skye"" Johnson",Quake
,,,,,,,,,,,776:00,,,,,,,,,,,,,,1:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Jemma Simmons,
,,,,,,,,,,,716:45,,,,,,,,,,,,,,1:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Leo Fitz,
,,,,,,,,,,,716:30,,,,,,,,,,,,,,2:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Melinda May,
,,,,,,,,,,,553:00,,,,,,,,,,,,,,1:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agent Alphonso ""Mack"" Mackenzie",
,,,,,,,,,,,337:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Grant Ward,
,,,,,,,,,,,295:45,,,,,,,,,,,,,,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agent Elena ""Yo-Yo"" Rodriguez",
,,,,,,,,,,,206:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deke Shaw,
,,,,,,,,,,,160:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agent Barbara ""Bobbi"" Morse",
,,,,,,,,,,,149:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Lance Hunter,
,,,,,,,,,,,109:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Lincoln Campbell,
,,,,,,,,,,,105:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brig. Gen. Glenn Talbot,
,,,,,,,,,,,92:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Holden Radcliffe,
,,,,,,,,,,,91:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enoch,
,,,,,,,,,,,85:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeffrey Mace,Patriot
,,,,,,,,,,,82:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raina,
,,,,,,,,,,,81:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIDA,
,,,,,,,,,,,72:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachakutiq,"""Sarge"""
,,,,,,,,,,,72:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent John Garrett,"""The Clairvoyant"""
,,,,,,,,,,,71:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Calvin Johnson,
,,,,,,,,,,,66:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robbie Reyes,Ghost Rider
,,,,,,,,,,,66:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hive,
,,,,,,,,,,,62:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiaying,
,,,,,,,,,,,57:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Andrew Garner,Lash
,,,,,,,,,,,55:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kasius,
,,,,,,,,,,,55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Antoine Triplett,
,,,,,,,,,,,52:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike Peterson,Deathlok
,,,,,,,,,,,51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General Hale,
,,,,,,,,,,,49:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gideon Malick,
,,,,,,,,,,,46:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Izel,
,,,,,,,,,,,38:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Piper,
,,,,,,,,,,,38:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Kara Lynn Palamas,Agent 33
,,,,,,,,,,,37:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anton Ivanov,
,,,,,,,,,,,37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby Hale,
,,,,,,,,,,,35:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosalind Price,
,,,,,,,,,,,34:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathaniel Malick,
,,,,,,,,,,,32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flint,
,,,,,,,,,,,31:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Davis,
,,,,,,,,,,,31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunil Bakshi,
,,,,,,,,,,,29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMD Melinda May,
,,,,,,,,,,,27:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tess,
,,,,,,,,,,,27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Whitehall,
,,,,,,,,,,,26:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Robert Gonzales,
,,,,,,,,,,,26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gordon,
,,,,,,,,,,,24:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carl ""Crusher"" Creel",
,,,,,,,,,,,24:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kora,
,,,,,,,,,,,23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joey Gutierrez,
,,,,,,,,,,,22:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Werner von Strucker,
,,,,,,,,,,,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robin Hinton,
,,,,,,,,,,,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Marcus Benson,
,,,,,,,,,,,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.T. James,Hellfire
,,,,,,,,,,,22:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaco,
,,,,,,,,,,,20:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinara,
,,,,,,,,,,,20:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eli Morrow,
,,,,,,,,,,,20:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ian Quinn,
,,,,,,,,,,,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:00,,2:30,,,,,,,,1:15,,,,,Lady Sif,
,,,,,,,,,,,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilfred Malick,
,,,,,,,,,,,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will Daniels,
,,,,,,,,,,,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snowflake,
,,,,,,,,,,,16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Professor Elliot Randolph,
,,,,,,,,,,,16:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Victoria Hand,
,,,,,,,,,,,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabe Reyes,
,,,,,,,,,,,15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senator Ellen Nadeer,
,,,,,,,,,,,15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giyera,
,,,,,,,,,,,14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Keller,
,,,,,,,,,,,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donnie Gill,Blizzard
,,,,,,,,,,,13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pax,
,,,,,,,,,,,13:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Lucy Bauer,
,,,,,,,,,,,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Billy Koenig,
,,,,,,,,,,,12:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorelei,
,,,,,,,,,,,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Anne Weaver,
,,,,,,,,,,,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qovas,
,,,,,,,,,,,11:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alistair Fitz,
,,,,,,,,,,,11:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMD Leo Fitz,
,,,,,,,,,,,11:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Detective Luke"" Chronocom",
,,,,,,,,,,,11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tucker Shockley,
