Character,Alternate Name,Doctor Strange in the Multiverse of Madness,Spider-Man No Way Home,Eternals,Shang-Chi,Black Widow,Avengers_Endgame,Black_Panther,Avengers Infinity War,Marvels The Avengers,Avengers Age of Ultron,Captain Marvel,Iron Man 3,Captain America Civil War,Guardians of the Galaxy Vol 2,Spider-Man Homecoming,Guardians of the Galaxy,Spider-Man Far from Home,Iron Man,Thor Ragnarok,Iron Man 2,Captain America The Winter Soldier,Doctor Strange,Ant-Man and the Wasp,Venom (2018),Thor The Dark World,Thor,Ant-Man,Captain America: The First Avenger,The Incredible Hulk
Kaecilius,,,,,,,,,,,,,,,,,,,,,,,12:45,,,,,,,
Wong,,12:00,0:45,,2:00,,,,3:30,,,,,,,,,,,,,,7:00,,,,,,,
Lucian,,,,,,,,,,,,,,,,,,,,,,,3:45,,,,,,,
Dormammu,,,,,,,,,,,,,,,,,,,,,,,2:00,,,,,,,
Dr. Nicodemus West,,,,,,,,,,,,,,,,,,,,,,,1:30,,,,,,,
Ego,,,,,,,,,,,,,,,17:00,,,,,,,,,,,,,,,
Kraglin Obfonteri,,,,,,,,,,,,,,,4:45,,,,,,,,,,,,,,,
Taserface,,,,,,,,,,,,,,,4:15,,,,,,,,,,,,,,,
Ayesha,,,,,,,,,,,,,,,3:30,,,,,,,,,,,,,,,
Vulture,,,,,,,,,,,,,,,,19:00,,,,,,,,,,,,,,
Ned Leeds,,,,,,,,,,,,,,,,13:45,,,,,,,,,,,,,,
Liz Toomes,,,,,,,,,,,,,,,,9:45,,,,,,,,,,,,,,
The Shocker,,,,,,,,,,,,,,,,4:30,,,,,,,,,,,,,,
Tinkerer,,,,,,,,,,,,,,,,3:45,,,,,,,,,,,,,,
Michelle Jones,,,27:15,,,,,,,,,,,,,2:45,,17:30,,,,,,,,,,,,
Flash Thompson,,,,,,,,,,,,,,,,2:15,,5:00,,,,,,,,,,,,
Valkyrie,,,,,,,2:30,,,,,,,,,,,,,14:15,,,,,,,,,,
Hela,,,,,,,,,,,,,,,,,,,,12:30,,,,,,,,,,
Skurge,,,,,,,,,,,,,,,,,,,,6:45,,,,,,,,,,
The Grandmaster,,,,,,,,,,,,,,,,,,,,5:30,,,,,,,,,,
Korg,,,,,,,,,,,,,,,,,,,,3:15,,,,,,,,,,
Surtur,,,,,,,,,,,,,,,,,,,,3:00,,,,,,,,,,
Erik Stevens,Killmonger,,,,,,,22:15,,,,,,,,,,,,,,,,,,,,,,
Nakia,,,,,,,,16:45,,,,,,,,,,,,,,,,,,,,,,
Shuri,,,,,,,,14:30,45:00,,,,,,,,,,,,,,,,,,,,,
Okoye,,,,,,,2:00,12:45,2:45,,,,,,,,,,,,,,,,,,,,,
Zuri,,,,,,,,8:15,,,,,,,,,,,,,,,,,,,,,,
Ulysses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaue,,,,,,,,7:15,,,,,,,,,,,,,,,,,,,,,,
Wkabi,,,,,,,,7:15,,,,,,,,,,,,,,,,,,,,,,
Mother Ramonda,,,,,,,,6:45,,,,,,,,,,,,,,,,,,,,,,
Mbaku,,,,,,,,5:45,,,,,,,,,,,,,,,,,,,,,,
Njobu,,,,,,,,04:15,,,,,,,,,,,,,,,,,,,,,,
Mantis,,,,,,,,,5:45,,,,,,11:00,,,,,,,,,,,,,,,
Ebony Maw,,,,,,,,,4:30,,,,,,,,,,,,,,,,,,,,,
Ava Starr,Ghost,,,,,,,,,,,,,,,,,,,,,,,12:45,,,,,,
